word,phonetic,meaning,,
pink,[piŋk],粉红色；粉红的,,
brown,[braun],褐色，棕色,,
chocolate,[‘tʃɔkəlit],深褐色,,
camel,[‘kæməl],驼色的,,
green,[gri:n],绿色；绿色的,,
blue,[blu:],蓝色；蓝色的,,
red,[red],红色；红色的,,
purple,[‘pə:pl],紫色的,,
violet,[‘vaiələt],紫罗兰色的,,
white,[wait],白色；白色的,,
ivory,[‘aivəri],乳白色的,,
gray,[grei],灰色；灰色的,,
scarlet,[‘ska:lət],猩红色,,
golden,[‘gəuldən],金色的,,
orange,[‘ɔrindʒ],橙色的,,
silver,[‘silvə],银白色,,
yellow,[‘jeləu],黄色,,
family,[‘fæmili],家庭，亲属,,
marriage,[‘mæridʒ],结婚,,
couple,[‘kʌpl],夫妇，夫妻,,
parent,[‘pεərənt],父母,,
single,[‘siŋgl],单身的,,
male,[meil],男的,,
female,[‘fi:meil],女的,,
husband,[‘hʌzbənd],丈夫,,
father,[‘fa:ðə],父亲,,
foster,[‘fɔstə],领养的,,
mother,[‘mʌðə],母亲,,
wife,[waif],妻子,,
son,[sʌn],儿子,,
grandson,[grændsʌn],孙子,,
daughter,[‘dɔ:tə],女儿,,
child,[tʃaild],孩子，儿童,,
heir,[εə],继承人,,
brother,[‘brʌðə],兄弟,,
sister,[‘sistə],姐妹,,
twin,[twin],双胞胎的,,
grandfather,[‘grændfa:ðə],祖父,,
grandmother,[grændmʌðə],祖母,,
granny,[‘græni],奶奶；外婆,,
grandma,[‘grændma:],奶奶,,
grandad,['grændæd],爷爷,,
grandpa,[‘grændpa:],爷爷,,
uncle,[‘ʌŋkl],叔叔，伯父,,
aunt,[a:nt],阿姨，舅妈，姑妈,,
nephew,[‘nefju:],侄子，外甥,,
niece,[ni:s],侄女，外甥女,,
cousin,[‘kʌzən],堂兄弟姐妹,,
school,[sku:l],学校,,
university,[ju:ni’və:səti],大学,,
college,[‘kɔlidʒ],学院,,
institute,[‘institjut],学会，协会；学院,,
hospital,[‘hɔspitəl],医院,,
clinic,[‘klinik],诊所,,
shop,[ʃɔp],商店（英）,,
store,[stɔ:],商店（美）,,
bookshop,[‘bukʃɔp],书店,,
bookstore,[‘bukstɔ:],书店,,
market,[‘ma:kit],市场，集市,,
supermarket,[‘sju:pəma:kit],超市,,
hotel,[həu’tel],旅馆，客栈,,
restaurant,[‘restərɔnt],餐厅,,
bar,[ba:],酒吧,,
cafe,[‘kæfei],咖啡馆,,
bank,[bæŋk],银行,,
court,[kɔ:t],法院,,
port,[pɔ:t],港口,,
library,[‘laibrəri],图书馆,,
airport,[‘εəpɔ:t],飞机场,,
church,[tʃə:tʃ],教堂,,
kindergarten,[‘kindəga:tən],幼儿园,,
museum,[mju:’ziəm],博物馆,,
station,[‘steiʃən],车站,,
cinema,[‘sinəmə],电影院,,
theater,[‘θiətə],剧院，戏院,,
club,[klʌb],俱乐部,,
gym,[dʒim],体育馆，健身房,,
park,[pa:k],公园，停车场,,
zoo,[zu:],动物园,,
post office,['pəust'ɔfis],邮局,,
tomato,[tə’ma:təu],西红柿,,
asparagus,[ə’spærəgəs],芦笋,,
cucumber,[‘kju:kʌmbə],黄瓜,,
eggplant,['egpla:nt],茄子,,
bean,[bi:n],豆 菜豆,,
beetroot,[‘bi:t ru:t],甜菜根,,
potato,[pə’teitəu],马铃薯,,
carrot,[‘kærət],胡萝卜,,
cauliflower,['kɔli flauə],花菜,,
pumpkin,[‘pʌmpkin],南瓜,,
cabbage,[‘kæbidʒ],卷心菜,,
chilli,[‘tʃili],红辣椒,,
capsicum,[‘kæpsikəm],辣椒,,
garlic,[‘ga:lik],蒜,,
fennel,[‘fenl],茴香,,
melon,[‘melən],香瓜 甜瓜,,
celery,[‘seləri],芹菜,,
onion,[‘ʌnjən],葱,,
leek,[li:k],韭菜,,
radish,[‘rædiʃ],萝卜,,
mushroom,[‘mʌʃru:m],蘑菇,,
lettuce,[‘letis],莴苣 生菜,,
pea,[pi:],豌豆,,
spinach,['spinidʒ -itʃ],菠菜,,
dash,[dæʃ],短跑（美）,,
race,[reis],赛跑,,
high jump,[],跳高,,
long jump,[],跳远,,
throwing,['θrəuiŋ],投掷,,
walk,[wɔ:k],竞走,,
football,[‘fut bɔ:l],足球（美式橄榄球）,,
basketball,[‘ba:skitbɔ:l],篮球,,
volleyball,[‘vɔlibɔ:l],排球,,
badminton,[‘bædmintən],羽毛球,,
tennis,[‘tenis],网球,,
table tennis,[],乒乓球,,
baseball,[‘beisbɔ:l],棒球,,
wrestling,[‘resliŋ],摔跤,,
boxing,[‘bɔksiŋ],拳击,,
soccer,[‘sɔkə],足球,,
chess,[tʃes],国际象棋,,
bridge,[bridʒ],桥牌,,
marathon,[mærəθɔn],马拉松,,
pole vault,['pəulvɔ:lt],撑竿跳,,
shot put,[],推铅球,,
discus,[‘diskəs],铁饼,,
hammer,[‘hæmə],链球,,
javelin,[‘dʒævlin],标枪,,
gymnastics,[dʒim’næstiks],体操,,
horizontal bar,[],单杠,,
parallel bars,[],双杠,,
rings,[riŋz],吊环,,
weight-lifting,['weit liftiŋ],举重,,
judo,[‘dʒu:dəu],柔道,,
fencing,[‘fensiŋ],击剑,,
skiing,[‘ski:iŋ],滑雪,,
skating,[‘skeitiŋ],滑,,
figure skating,[],花样滑冰,,
bobsleigh,[‘bɔbslei],雪橇,,
handball,[‘hændbɔ:l],手球,,
hockey,[‘hɔki],曲棍球,,
golf,[gɔlf],高尔夫球,,
cricket,[‘krikit],板球,,
ice hockey,[],冰球,,
swim,[swim],游泳,,
breaststroke,['breststrəuk],蛙泳,,
backstroke,[bækstrəuk],仰泳,,
freestyle,['fri:stail],自由泳,,
diving,[‘daiviŋ],跳水,,
polo,['pəuləu],马球 水球,,
water polo,[],水球,,
rowing,[‘rəuiŋ],划船 赛艇,,
canoe,[kə’nu:],独木舟,,
sailing,[‘seiliŋ],帆船运动,,
rally,[‘ræli],汽车拉力赛,,
apple,[‘æpl],苹果,,
pear,[pεə],梨,,
apricot,[‘eiprikɔt],杏,,
peach,[pi:tʃ],桃,,
grape,[greip],葡萄,,
banana,[bə’na:nə],香蕉,,
pineapple,[‘pain æpl],菠萝,,
plum,[plʌm],李子,,
watermelon,['wɔ:təmelə],西瓜,,
orange,[‘ɔrindʒ],橙 桔子,,
lemon,[‘lemən],柠檬,,
mango,[‘mæŋgəu],芒果,,
strawberry,[‘strɔ:bəri],草莓,,
loquat,[‘ləukwɔt],枇杷,,
mulberry,[‘mʌlbəri],桑椹,,
cherry,[‘tʃeri],樱桃,,
pomegranate,[‘pɔmgrænit],石榴,,
fig,[fig],无花果,,
persimmon,[pə’simən],柿子,,
walnut,['wɔ:lnʌt -nət],核桃,,
hazelnut,[‘heizəlnʌt],榛子,,
peanut,[‘pi:nʌt],花生,,
date,[‘deit],枣,,
chestnut,[‘tʃesnʌt],粟子,,
coconut,[‘kəukənʌt],椰子,,
guava,[‘gwa:və],番石榴,,
sugarcane,[‘ʃugə kein],甘蔗,,
meat,[mi:t],肉,,
beef,[bi:f],牛肉,,
veal,[vi:l],小牛肉,,
lamb,[læm],羔羊肉,,
mutton,[‘mʌtən],羊肉,,
sirloin,[‘sə:lɔin],牛里脊肉,,
steak,[steik],牛排,,
chop,[tʃɔp],排骨,,
cutlet,[‘kʌtlit],肉条,,
stew,[stju: stu:],焖 炖肉,,
roast,[rəust],烤肉,,
pork,[pɔ:k],猪肉,,
ham,[hæm],火腿,,
bacon,[beikən],培根 熏肉,,
sausage,[sɔsidʒ],香肠 腊肠,,
chicken,[‘tʃikin],鸡肉,,
turkey,[‘tə:ki],火鸡,,
duck,[dʌk],鸭,,
fish,[fiʃ],鱼,,
broth,[brɔθ],肉汤,,
ambulance,[‘æmbjuləns],救护车,,
bike,[baik],自行车（口语）,,
bicycle,[‘baisikl],自行车,,
motorcycle,[‘məutə saikl],摩托车,,
cart,[ka:t],二轮马车,,
carriage,[‘kæridʒ],四轮马车,,
car,[ka:],小汽车,,
jeep,[dʒi:p],吉普车,,
tractor,[‘træktə],拖拉机,,
lorry,[‘lɔ:ri],重型卡车,,
truck,[trʌk],卡车,,
bus,[bʌs],公共汽车,,
coach,[kəutʃ],四轮大马车,,
van,[væn],厢式货车,,
taxi,[‘tæksi],出租车,,
subway,[‘sʌbwei],地铁,,
railway,[‘reilwei],铁路,,
train,[trein],火车,,
locomotive,[‘ləukə məutiv],火车头 机车,,
express,[ik’spres],快客列车 快车,,
boat,[bəut],小船,,
ship,[ʃip],船,,
yacht,[jɔt],游艇,,
vessel,[‘vesəl],大船,,
warship,[‘wɔ:ʃip],军舰 战船,,
aeroplane,[‘εərəplein],飞机,,
plane,[plein],飞机,,
aircraft,[‘εəkra:ft],飞机,,
airplane,[‘εəplein],飞机,,
jet,[dʒet],喷气式飞机,,
spaceship,[speisʃip],宇宙飞船,,
space shuttle,[spies 'ʃʌtl],航天飞机,,
helicopter,[‘helikɔptə],直升飞机,,
season,['si:zən],四季,,
meridiem,[mə'ridi:əm],正午,,
A.M.,[],上午,,
morning,[],上午,,
P.M.,[],下午,,
afternoon,[],下午,,
spring,[spriŋ],春天,,
summer,['sʌmə],夏天,,
fall,[fɔ:l],秋天,,
winter,['wintə],冬天,,
yesterday,['jestədi -dei],昨天,,
tomorrow,[tə'mɔrəu],明天,,
Monday,['mʌndi],周一,,
Tuesday,['tju:zdi -dei],周二,,
Wednesday,['wenzdi -dei],周三,,
Thursday,['θə:zdi -dei],周四,,
Friday,['fraidi],周五,,
Saturday,['sætədi -dei],周六,,
Sunday,['sʌndei],星期天,,
weekend,[wi:k'end],周末,,
January,['dʒænjuəri],一月,,
February,['februəri],二月,,
March,[ma:tʃ],三月,,
April,['eiprəl],四月,,
May,[mei],五月,,
